ivid,blue,green
MIA-060-018,392,244
MIA-060-019,205,155
MIA-060-020,422,358
MIA-060-021,395,154
MIA-060-022,501,142
MIA-060-023,518,223
MIA-150-001,946,326
MIA-150-002,267,71
MIA-150-003,506,171
MIA-150-004,1695,733
MIA-150-005,265,109
MIA-150-006,241,106
MIA-150-007,632,335
MIA-150-008,324,184
MIA-150-009,428,220
MIA-040-001,622,530
MIA-040-002,835,783
MIA-040-003,766,680
MIA-040-004,1156,791
MIA-040-005,1230,1024
MIA-040-006,971,839
MIA-040-007,1120,740
MIA-040-008,1062,755
MIA-040-009,1958,1329
MIA-040-010,1117,784
MIA-040-023,931,697
MIA-040-011,367,302
MIA-040-012,888,642
MIA-040-013,527,397
MIA-040-014,700,512
MIA-040-015,229,196
MIA-040-016,1004,802
MIA-040-017,549,660
MIA-040-018,494,241
MIA-040-019,974,981
MIA-040-020,832,540
MIA-040-021,1067,804
MIA-040-022,310,323
MIA-050-001,950,386
MIA-050-002,791,364
MIA-050-003,1249,576
MIA-050-004,1610,652
MIA-050-005,1378,607
MIA-050-006,1149,451
MIA-050-007,335,187
MIA-050-008,1237,481
MIA-050-030,706,332
MIA-050-009,1240,458
MIA-050-010,603,326
MIA-050-011,283,158
MIA-050-012,413,270
MIA-050-020,632,224
MIA-050-021,915,417
MIA-050-016,1259,544
MIA-050-031,1786,793
MIA-050-015,1123,629
MIA-050-028,1232,531
MIA-050-029,1322,495
MIA-050-017,1583,597
MIA-050-014,1036,433
MIA-050-013,713,285
MIA-050-026,682,374
MIA-050-027,835,344
MIA-050-018,1133,518
MIA-050-019,587,343
MIA-050-022,626,211
MIA-050-024,452,156
MIA-050-023,1187,488
MIA-050-025,954,331
MIA-160-001,1037,460
MIA-160-002,295,133
MIA-160-003,426,144
MIA-160-004,135,39
MIA-160-005,221,112
MIA-160-006,267,145
