ivid,household,male,female
TPQ-110-045,2297,2940,3181
TPQ-110-046,1765,2233,2352
TPQ-110-047,2264,2370,2687
TPQ-110-048,1906,2173,2387
TPQ-110-049,1307,1131,1282
TPQ-110-050,1236,1310,1401
TPQ-120-001,342,414,430
TPQ-120-002,883,1101,1157
TPQ-120-003,570,775,713
TPQ-120-004,732,940,1013
TPQ-120-005,590,846,731
TPQ-120-006,283,377,370
TPQ-120-007,1582,2168,2210
TPQ-120-008,434,691,623
TPQ-120-009,735,1049,1076
TPQ-120-010,542,795,707
TPQ-120-011,718,1049,894
TPQ-120-012,1270,1764,1721
TPQ-120-013,789,1206,1115
TPQ-120-014,208,303,241
TPQ-120-015,155,188,157
TPQ-120-016,140,192,142
TPQ-120-017,70,76,55
TPQ-120-018,237,296,253
TPQ-120-019,252,286,245
TPQ-120-020,178,195,192
TPQ-120-021,107,117,93
TPQ-120-022,196,204,189
TPQ-120-023,214,238,200
TPQ-120-024,118,120,98
TPQ-120-025,114,129,114
TPQ-120-026,204,217,189
TPQ-120-027,143,155,170
TPQ-120-028,268,257,294
TPQ-120-029,594,614,720
TPQ-120-030,1057,1132,1198
TPQ-120-031,643,703,744
TPQ-120-032,96,145,138
TPQ-120-033,250,480,470
TPQ-120-034,1261,1864,1822
TPQ-130-001,2639,3059,2294
TPQ-130-002,813,1064,1098
TPQ-130-003,2255,3037,3160
TPQ-130-004,1999,2926,2953
TPQ-130-005,808,1059,1129
TPQ-130-006,1713,2445,2527
TPQ-130-007,2135,3038,3094
TPQ-130-008,1455,2096,2107
TPQ-130-009,1296,1745,1822
TPQ-130-010,3047,4343,4562
TPQ-130-011,1244,1649,1749
TPQ-130-012,2919,4185,4375
TPQ-130-013,2206,3417,3237
TPQ-130-014,1635,2334,2337
TPQ-130-015,643,933,827
TPQ-130-016,2715,3656,3719
TPQ-130-017,2622,3952,3974
TPQ-130-018,2395,3684,3749
TPQ-130-019,1698,2571,2569
TPQ-130-020,1897,2559,2455
TPQ-130-021,3132,4410,4353
TPQ-130-022,1756,2371,2253
TPQ-130-023,1902,2658,2627
TPQ-130-024,1782,2728,2619
TPQ-130-025,1088,1353,1425
TPQ-130-026,607,914,860
TPQ-130-027,2000,2798,2940
TPQ-130-028,2033,2989,3085
TPQ-130-029,1247,1844,1967
TPQ-130-030,1678,2434,2356
TPQ-130-031,1823,2651,2716
TPQ-130-032,1132,1658,1661
TPQ-130-033,2063,2892,2861
TPQ-130-034,1595,2425,2309
